item_1,item_2,frequency
ITEM_3888,ITEM_4707,1
ITEM_329,ITEM_857,1
ITEM_1681,ITEM_4805,1
ITEM_3566,ITEM_4369,1
ITEM_3617,ITEM_4587,1
ITEM_3798,ITEM_590,1
ITEM_3209,ITEM_4249,1
ITEM_1162,ITEM_4803,1
ITEM_2496,ITEM_3527,1
ITEM_3541,ITEM_3984,1
ITEM_1754,ITEM_1796,1
ITEM_1571,ITEM_3672,1
ITEM_2097,ITEM_969,1
ITEM_238,ITEM_4211,1
ITEM_3297,ITEM_3558,1
ITEM_213,ITEM_4956,1
ITEM_181,ITEM_2164,1
ITEM_2029,ITEM_2547,1
ITEM_246,ITEM_3982,1
ITEM_3407,ITEM_578,1
ITEM_1957,ITEM_4154,1
ITEM_332,ITEM_593,1
ITEM_2376,ITEM_4066,1
ITEM_4802,ITEM_930,1
ITEM_3872,ITEM_4514,1
ITEM_168,ITEM_2296,1
ITEM_3647,ITEM_4618,1
ITEM_2596,ITEM_3381,1
ITEM_1313,ITEM_538,1
ITEM_2326,ITEM_4287,1
ITEM_151,ITEM_3333,1
ITEM_3191,ITEM_4416,1
ITEM_1104,ITEM_4094,1
ITEM_3033,ITEM_4847,1
ITEM_2677,ITEM_566,1
ITEM_2098,ITEM_2933,1
ITEM_1960,ITEM_2378,1
ITEM_2074,ITEM_675,1
ITEM_150,ITEM_1870,1
ITEM_3747,ITEM_517,1
ITEM_1827,ITEM_3421,1
ITEM_1589,ITEM_1604,1
ITEM_110,ITEM_3973,1
ITEM_1546,ITEM_4838,1
ITEM_2004,ITEM_4886,1
ITEM_1230,ITEM_3696,1
ITEM_2680,ITEM_3922,1
ITEM_1190,ITEM_4339,1
ITEM_4033,ITEM_4926,1
ITEM_359,ITEM_4179,1
ITEM_2336,ITEM_2459,1
ITEM_2359,ITEM_4534,1
ITEM_1077,ITEM_4896,1
ITEM_4378,ITEM_4662,1
ITEM_188,ITEM_3646,1
ITEM_4341,ITEM_995,1
ITEM_1335,ITEM_2546,1
ITEM_162,ITEM_2860,1
ITEM_1475,ITEM_3339,1
ITEM_1582,ITEM_2360,1
ITEM_1592,ITEM_549,1
ITEM_637,ITEM_944,1
ITEM_2213,ITEM_2546,1
ITEM_2049,ITEM_2902,1
ITEM_2000,ITEM_3172,1
ITEM_134,ITEM_1529,1
ITEM_2397,ITEM_4916,1
ITEM_2825,ITEM_4308,1
ITEM_2487,ITEM_4883,1
ITEM_1051,ITEM_2044,1
ITEM_414,ITEM_4644,1
ITEM_165,ITEM_3201,1
ITEM_1466,ITEM_3105,1
ITEM_4244,ITEM_500,1
ITEM_4506,ITEM_4967,1
ITEM_1979,ITEM_4049,1
ITEM_362,ITEM_4049,1
ITEM_2742,ITEM_4978,1
ITEM_1153,ITEM_1231,1
ITEM_2487,ITEM_2794,1
ITEM_3567,ITEM_3630,1
ITEM_2331,ITEM_2588,1
ITEM_3548,ITEM_4116,1
ITEM_1401,ITEM_2827,1
ITEM_1382,ITEM_417,1
ITEM_1214,ITEM_2283,1
ITEM_3884,ITEM_4142,1
ITEM_1112,ITEM_2159,1
ITEM_2329,ITEM_3435,1
ITEM_3885,ITEM_607,1
ITEM_2619,ITEM_976,1
ITEM_2812,ITEM_4732,1
ITEM_1538,ITEM_3819,1
ITEM_3773,ITEM_4214,1
ITEM_2110,ITEM_4844,1
ITEM_1706,ITEM_2309,1
ITEM_1933,ITEM_2453,1
ITEM_2785,ITEM_660,1
ITEM_4007,ITEM_4436,1
ITEM_1345,ITEM_1703,1
ITEM_1075,ITEM_2292,1
ITEM_2493,ITEM_2835,1
ITEM_1585,ITEM_2866,1
ITEM_13,ITEM_4627,1
ITEM_3554,ITEM_4065,1
ITEM_1003,ITEM_2380,1
ITEM_2557,ITEM_3957,1
ITEM_1518,ITEM_1751,1
ITEM_4804,ITEM_4998,1
ITEM_2224,ITEM_249,1
ITEM_3650,ITEM_663,1
ITEM_2736,ITEM_4990,1
ITEM_1774,ITEM_3609,1
ITEM_2177,ITEM_2510,1
ITEM_4727,ITEM_4973,1
ITEM_4256,ITEM_4592,1
ITEM_1594,ITEM_2120,1
ITEM_1275,ITEM_4271,1
ITEM_3225,ITEM_4077,1
ITEM_1249,ITEM_392,1
ITEM_4903,ITEM_4999,1
ITEM_4739,ITEM_899,1
ITEM_188,ITEM_4398,1
ITEM_1462,ITEM_4930,1
ITEM_3601,ITEM_384,1
ITEM_2641,ITEM_4437,1
ITEM_167,ITEM_2179,1
ITEM_1566,ITEM_3588,1
ITEM_2974,ITEM_3381,1
ITEM_2191,ITEM_2930,1
ITEM_2968,ITEM_373,1
ITEM_2010,ITEM_4700,1
ITEM_366,ITEM_4906,1
ITEM_3687,ITEM_4863,1
ITEM_140,ITEM_839,1
ITEM_36,ITEM_4272,1
ITEM_3111,ITEM_597,1
ITEM_1877,ITEM_4199,1
ITEM_946,ITEM_97,1
ITEM_2753,ITEM_3227,1
ITEM_3740,ITEM_4547,1
ITEM_2700,ITEM_716,1
ITEM_2516,ITEM_4226,1
ITEM_1558,ITEM_3524,1
ITEM_1440,ITEM_750,1
ITEM_2589,ITEM_3475,1
ITEM_4092,ITEM_888,1
ITEM_2408,ITEM_4942,1
ITEM_2163,ITEM_2747,1
ITEM_3527,ITEM_3986,1
ITEM_3080,ITEM_4568,1
ITEM_2060,ITEM_4911,1
ITEM_1007,ITEM_1807,1
ITEM_533,ITEM_675,1
ITEM_2170,ITEM_663,1
ITEM_1390,ITEM_1507,1
ITEM_1691,ITEM_4247,1
ITEM_1318,ITEM_1699,1
ITEM_3642,ITEM_379,1
ITEM_1705,ITEM_1929,1
ITEM_1414,ITEM_4800,1
ITEM_1755,ITEM_1916,1
ITEM_1070,ITEM_3777,1
ITEM_2649,ITEM_488,1
ITEM_102,ITEM_1025,1
ITEM_2846,ITEM_4376,1
ITEM_2605,ITEM_3211,1
ITEM_2604,ITEM_3041,1
ITEM_2343,ITEM_4233,1
ITEM_1674,ITEM_596,1
ITEM_2613,ITEM_4130,1
ITEM_2223,ITEM_797,1
ITEM_1799,ITEM_794,1
ITEM_2930,ITEM_4495,1
ITEM_1862,ITEM_4035,1
ITEM_3910,ITEM_4792,1
ITEM_3089,ITEM_3771,1
ITEM_2160,ITEM_2382,1
ITEM_2563,ITEM_4482,1
ITEM_1697,ITEM_3652,1
ITEM_1794,ITEM_3331,1
ITEM_1305,ITEM_3872,1
ITEM_1235,ITEM_2628,1
ITEM_3766,ITEM_4678,1
ITEM_2347,ITEM_3115,1
ITEM_1566,ITEM_2661,1
ITEM_4354,ITEM_742,1
ITEM_2634,ITEM_4365,1
ITEM_1491,ITEM_3479,1
ITEM_2082,ITEM_2791,1
ITEM_1717,ITEM_3879,1
ITEM_4688,ITEM_935,1
ITEM_1761,ITEM_2029,1
ITEM_207,ITEM_4842,1
ITEM_2966,ITEM_4664,1
ITEM_3332,ITEM_4570,1
ITEM_2414,ITEM_663,1
ITEM_3807,ITEM_4863,1
ITEM_4606,ITEM_4781,1
ITEM_4121,ITEM_831,1
ITEM_3552,ITEM_725,1
ITEM_2783,ITEM_4496,1
ITEM_1269,ITEM_1882,1
ITEM_1233,ITEM_1267,1
ITEM_1593,ITEM_3237,1
ITEM_1194,ITEM_4771,1
ITEM_3035,ITEM_335,1
ITEM_3685,ITEM_3872,1
ITEM_3056,ITEM_4298,1
ITEM_1302,ITEM_831,1
ITEM_2668,ITEM_3049,1
ITEM_244,ITEM_813,1
ITEM_2945,ITEM_3395,1
ITEM_3737,ITEM_4738,1
ITEM_1755,ITEM_4232,1
ITEM_28,ITEM_52,1
ITEM_3547,ITEM_4517,1
ITEM_259,ITEM_3155,1
ITEM_1221,ITEM_1515,1
ITEM_1257,ITEM_4487,1
ITEM_3753,ITEM_49,1
ITEM_1791,ITEM_4082,1
ITEM_1756,ITEM_4894,1
ITEM_219,ITEM_2898,1
ITEM_1349,ITEM_736,1
ITEM_2968,ITEM_3293,1
ITEM_1436,ITEM_2272,1
ITEM_2058,ITEM_3383,1
ITEM_3128,ITEM_3978,1
ITEM_1072,ITEM_4377,1
ITEM_2513,ITEM_746,1
ITEM_1305,ITEM_1668,1
ITEM_3517,ITEM_830,1
ITEM_1564,ITEM_1881,1
ITEM_1461,ITEM_2310,1
ITEM_1852,ITEM_3632,1
ITEM_351,ITEM_69,1
ITEM_278,ITEM_4585,1
ITEM_1697,ITEM_703,1
ITEM_2596,ITEM_3800,1
ITEM_4850,ITEM_601,1
ITEM_2649,ITEM_4837,1
ITEM_1269,ITEM_1957,1
ITEM_2961,ITEM_4453,1
ITEM_3092,ITEM_3969,1
ITEM_3878,ITEM_4351,1
ITEM_4285,ITEM_908,1
ITEM_373,ITEM_4314,1
ITEM_1610,ITEM_711,1
ITEM_3181,ITEM_4623,1
ITEM_1227,ITEM_317,1
ITEM_1323,ITEM_2744,1
ITEM_4490,ITEM_4840,1
ITEM_1240,ITEM_638,1
ITEM_4025,ITEM_4317,1
ITEM_1055,ITEM_1057,1
ITEM_1532,ITEM_4587,1
ITEM_2693,ITEM_3103,1
ITEM_2609,ITEM_4910,1
ITEM_1793,ITEM_4163,1
ITEM_2391,ITEM_953,1
ITEM_1002,ITEM_872,1
ITEM_3792,ITEM_4340,1
ITEM_2169,ITEM_3875,1
ITEM_3494,ITEM_3796,1
ITEM_415,ITEM_4511,1
ITEM_3182,ITEM_3592,1
ITEM_3498,ITEM_464,1
ITEM_1524,ITEM_1610,1
ITEM_2113,ITEM_3777,1
ITEM_1614,ITEM_4239,1
ITEM_1863,ITEM_2211,1
ITEM_2185,ITEM_3655,1
ITEM_1910,ITEM_1935,1
ITEM_1440,ITEM_1555,1
ITEM_1127,ITEM_3173,1
ITEM_3085,ITEM_4719,1
ITEM_2381,ITEM_2623,1
ITEM_1575,ITEM_3644,1
ITEM_1488,ITEM_362,1
ITEM_1687,ITEM_3375,1
ITEM_1071,ITEM_1935,1
ITEM_3601,ITEM_913,1
ITEM_3678,ITEM_883,1
ITEM_2125,ITEM_4151,1
ITEM_1080,ITEM_897,1
ITEM_3220,ITEM_3304,1
ITEM_4120,ITEM_629,1
ITEM_1280,ITEM_838,1
